city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
1255619,Srīvardhan,IN,18.03,73.02,10/05/20,            77.54,84,86,3.31
2038139,Changtu,CN,42.78,124.1,10/05/20,            42.37,66,0,4.74
2028462,Ulaanbaatar,MN,47.91,106.88,10/05/20,            23,79,0,1.63
1648636,Bitung,ID,1.45,125.18,10/05/20,            75.2,94,40,2.24
548625,Kinel',RU,53.23,50.65,10/05/20,            39.2,69,0,2.24
4703384,Kingsville,US,27.52,-97.86,10/05/20,            87.57,43,20,4.7
3572375,Freeport,BS,26.53,-78.7,10/05/20,            89.6,75,40,14.99
5503914,Fallon,US,39.47,-118.78,10/05/20,            73.71,15,1,2.71
1072879,Ankazoabo,MG,-22.28,44.52,10/05/20,            67.41,60,18,6.11
2162683,Innisfail,AU,-17.53,146.03,10/05/20,            69.21,81,100,5.64
1272819,Dhārūr,IN,18.82,76.12,10/05/20,            72.95,72,100,4.9
244878,Biltine,TD,14.53,20.92,10/05/20,            90.79,31,18,6.49
2023943,Gorin,RU,51.2,136.67,10/05/20,            37.62,77,100,7.83
3468020,Camapuã,BR,-19.53,-54.04,10/05/20,            108.34,9,32,4.94
2510573,Teguise,ES,29.06,-13.56,10/05/20,            73.4,69,20,13.87
480410,Tunoshna,RU,57.55,40.13,10/05/20,            57.2,62,100,6.71
2618795,Klaksvík,FO,62.23,-6.59,10/05/20,            50,100,95,8.05
3369129,Ceres,ZA,-33.37,19.31,10/05/20,            60.53,77,4,3.18
3421982,Maniitsoq,GL,65.42,-52.9,10/05/20,            28.11,86,79,3.74
1863495,Gushikawa,JP,26.35,127.87,10/05/20,            76.93,69,90,13.87
3492627,El Batey,DO,19.77,-70.52,10/05/20,            88.95,63,40,20.8
3388847,São Félix do Xingu,BR,-6.64,-51.99,10/05/20,            92.01,39,100,8.59
5975004,High Level,CA,58.52,-117.14,10/05/20,            46.4,70,90,3.36
2127515,Wakkanai,JP,45.41,141.67,10/05/20,            55.63,70,91,20.36
1253237,Verāval,IN,20.9,70.37,10/05/20,            80.4,82,0,9.19
3459094,Laguna,BR,-28.48,-48.78,10/05/20,            73.69,77,100,22.82
3695466,La Unión,PE,-5.4,-80.75,10/05/20,            77.32,47,98,18.21
1161724,Chabahar,IR,25.29,60.64,10/05/20,            82,62,0,3.87
1816440,Huaiyuan,CN,32.97,117.2,10/05/20,            55.36,54,60,5.55
5911440,Burgeo,CA,47.62,-57.62,10/05/20,            50.67,57,100,6.15
2122614,Okha,RU,53.57,142.95,10/05/20,            48.88,85,76,22.75
4754972,Culpeper,US,38.5,-77.97,10/05/20,            66.52,40,40,8.05
3383494,Moengo,SR,5.62,-54.4,10/05/20,            88.52,58,100,5.35
3855075,General Pico,AR,-35.66,-63.76,10/05/20,            63.86,37,0,3.15
2021188,Kurumkan,RU,54.3,110.3,10/05/20,            31.42,89,0,0.72
2019309,Neryungri,RU,56.67,124.65,10/05/20,            26.29,95,18,3.04
2209055,Waddān,LY,29.16,16.14,10/05/20,            88.48,13,0,13.65
506232,Porosozero,RU,62.72,32.73,10/05/20,            53.06,98,100,3.94
3369174,Calvinia,ZA,-31.47,19.78,10/05/20,            63.34,46,0,4.41
5536630,Cedar City,US,37.68,-113.06,10/05/20,            78.8,5,1,6.78
3665199,Ariquemes,BR,-9.91,-63.04,10/05/20,            99.23,32,84,1.7
553766,Kamenka,RU,51.32,42.77,10/05/20,            46.85,52,0,9.06
5024719,Duluth,US,46.78,-92.11,10/05/20,            63.57,42,1,21.92
